id,difficulty,query,expected_answer,reference_clause,reason_for_eval,expected_clause,naive_rag_clause,naive_rag_answer,retrieved_context,clause_precision,clause_recall,clause_f1,ans_faithfulness,ans_relevance,eval_reason
Q_Vocab_Easy_01,ง่าย,คำว่า 'หุ้นกู้ด้อยสิทธิ' มีความหมายทางกฎหมายว่าอย่างไร?,หมายถึง หุ้นกู้ที่ไม่มีประกัน ซึ่งมีการกำหนดเงื่อนไขให้ผู้ถือหุ้นกู้มีสิทธิได้รับชำระหนี้ด้อยกว่าสิทธิของเจ้าหนี้สามัญทั่วไป,['ข้อ 2'],ทดสอบคำถามประเภท 'คำศัพท์ (Vocabulary)' วัดความสามารถในการดึงนิยามศัพท์ตรงๆ จากบทนิยาม,ข้อ 2,ข้อ 2,หุ้นกู้ด้อยสิทธิ คือ หุ้นกู้ไม่มีประกันที่กำหนดสิทธิของผู้ถือไว้ด้อยกว่าเจ้าหนี้สามัญ,สรุปจากนิยาม 'หุ้นกู้ด้อยสิทธิ' ในข้อ 2,1.0,1.0,1.0,1,4,คำตอบอิงจาก Context จริงและให้ความหมายใกล้เคียงกับ Ground Truth แต่คำตอบที่สร้างขึ้นยังขาดการระบุเงื่อนไขเรื่องสิทธิได้รับชำระหนี้ด้อยกว่าสิทธิของเจ้าหนี้สามัญทั่วไปอย่างชัดเจน จึงหักคะแนนเล็กน้อย
Q_Vocab_Easy_02,ง่าย,นิยามของคำว่า 'ผู้บริหาร' ครอบคลุมถึงตำแหน่ง 'ผู้จัดการฝ่ายบัญชี' ด้วยหรือไม่?,ครอบคลุมด้วย เนื่องจากบทนิยามระบุไว้อย่างชัดเจนว่ารวมถึงผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีหรือการเงินที่เป็นระดับผู้จัดการฝ่ายขึ้นไป,['ข้อ 2'],ทดสอบคำถามประเภท 'คำศัพท์ (Vocabulary)' เชิงประยุกต์ ว่าระบบอ่านนิยามย่อยในวงเล็บ (3) เจอหรือไม่,ข้อ 2,"บทนิยามศัพท์ (คำว่า ""ผู้บริหาร"")","ใช่ คำว่า ""ผู้บริหาร"" ครอบคลุมถึงตำแหน่งผู้จัดการฝ่ายบัญชี หากเป็นผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า",“ผู้บริหาร” หมายความว่า (1) ผู้ที่ดำรงตำแหน่งบริหารสูงสุดของกิจการ (2) ผู้ที่ดำรงตำแหน่งระดับบริหาร 4 รายแรกนับต่อจากผู้ที่ดำรงตำแหน่งบริหารสูงสุดของกิจการลงมา และผู้ซึ่งดำรงตำแหน่งเทียบเท่ากับผู้ดำรงตำแหน่งระดับบริหารรายที่ 4 ทุกราย (3) ผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีหรือสายงานการเงินที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า :contentReference[oaicite:0]{index=0},0.0,0.0,0.0,1,5,คำตอบอิงจาก Context โดยตรงและสอดคล้องกับ Ground Truth อย่างครบถ้วน ชัดเจนว่าผู้จัดการฝ่ายบัญชีที่เป็นระดับผู้จัดการฝ่ายขึ้นไปรวมอยู่ในนิยามของผู้บริหาร
Q_Clause_Easy_03,ง่าย,เมื่อบริษัทได้รับอนุญาตให้เสนอขายตราสารหนี้แล้ว จะต้องดำเนินการขายตราสารหนี้นั้นให้เสร็จสิ้นภายในระยะเวลากี่เดือน?,ต้องดำเนินการขายให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาตให้เสนอขายตราสารหนี้,['ข้อ 30 วรรคหนึ่ง'],ทดสอบระดับ 'ข้อธรรมดา' ดึงตัวเลขและเงื่อนไขเวลาแบบตรงไปตรงมา,ข้อ 30 วรรคหนึ่ง,ข้อ 30,ผู้ได้รับอนุญาตต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาตให้เสนอขายตราสารหนี้,ข้อ 30 ผู้ได้รับอนุญาตตามภาคนี้ ต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาตให้เสนอขายตราสารหนี้ ในกรณีที่ผู้ได้รับอนุญาตไม่สามารถดำเนินการให้แล้วเสร็จภายในระยะเวลาดังกล่าวและประสงค์จะเสนอขายตราสารหนี้ต่อไป ให้ผู้ได้รับอนุญาตแจ้งต่อสำนักงานก่อนพ้นระยะเวลาดังกล่าวไม่น้อยกว่า 30 วัน เพื่อขอขยายระยะเวลาเสนอขาย... :contentReference[oaicite:0]{index=0},1.0,1.0,1.0,1,5,คำตอบที่ AI สร้างขึ้นตรงกับข้อมูลอ้างอิงและสอดคล้องกับคำตอบที่ถูกต้องอย่างครบถ้วน จึงให้คะแนนเต็ม
Q_Subclause_Medium_01,กลาง,สำหรับการเสนอขายตั๋วเงินแบบเฉพาะเจาะจง (PP10) ให้กับผู้ลงทุนรายใหญ่พิเศษ มีการจำกัด 'จำนวนฉบับ' ของตั๋วเงินที่เสนอขายไว้อย่างไร?,ตั๋วเงินที่เสนอขายต้องมีจำนวนไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง ไม่ว่าจะมีจำนวนผู้ลงทุนถึง 10 รายหรือไม่ก็ตาม,['ข้อ 15 (1) (2)'],ทดสอบระดับ 'อนุ (ข้อย่อย)' วัดความแม่นยำในการดึงเงื่อนไขย่อยที่ซ้อนอยู่ในอนุที่ 2 ของข้อ 15,ข้อ 15 (1) (2),ข้อ 15 (1) (2),สำหรับการเสนอขายตั๋วเงินแบบ PP10 ต่อผู้ลงทุนรายใหญ่พิเศษหรือผู้ลงทุนรายใหญ่ ตั๋วเงินที่เสนอขายต้องมีจำนวนไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง,การเสนอขายตราสารหนี้ PP10 หมายถึง การเสนอขายตราสารหนี้ต่อผู้ลงทุนโดยเฉพาะเจาะจงในลักษณะใดลักษณะหนึ่งดังนี้ (2) การเสนอขายต่อผู้ลงทุนรายใหญ่พิเศษหรือผู้ลงทุนรายใหญ่ ซึ่งมีจำนวนไม่เกิน 10 ราย และมีมูลค่ารวมกันทั้งสิ้นไม่เกิน 50 ล้านบาท ณ ขณะใดขณะหนึ่ง ทั้งนี้ ในกรณีที่ตราสารหนี้ที่เสนอขายเป็นตั๋วเงิน หรือมีตั๋วเงินรวมอยู่ด้วย ตั๋วเงินที่เสนอขายต้องมีจำนวนไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง :contentReference[oaicite:0]{index=0},1.0,1.0,1.0,1,4,คำตอบอิงจาก Context อย่างถูกต้องและระบุจำนวนตั๋วเงินไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง แต่ไม่ได้ระบุชัดเจนว่าเงื่อนไขนี้ใช้ได้ไม่ว่าจะมีจำนวนผู้ลงทุนถึง 10 รายหรือไม่ ซึ่งเป็นประเด็นสำคัญใน Ground Truth
Q_Section_Medium_02,กลาง,สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้จะต้องระบุเรื่องค่าตอบแทนไว้อย่างไรบ้าง?,ต้องระบุอัตราและวิธีการจ่ายค่าตอบแทนไว้เป็นจำนวนที่แน่นอน รวมถึงต้องระบุอัตราและวิธีการจ่ายคืนเงินทดรองที่ผู้แทนผู้ถือหุ้นกู้ได้จ่ายไปเพื่อปฏิบัติหน้าที่ด้วย,['ข้อ 76 (4)'],ทดสอบระดับ 'ส่วน/หมวด' เพื่อดูว่าระบบเข้าใจโครงสร้างและสามารถสกัดข้อมูลจากรายการย่อย (List extraction) ได้ครบหรือไม่,ข้อ 76 (4),ข้อ 76 (4),สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้ต้องระบุอัตราและวิธีการจ่ายค่าตอบแทนหรือบำเหน็จในการปฏิบัติหน้าที่ของผู้แทนผู้ถือหุ้นกู้ โดยต้องกำหนดเป็นจำนวนที่แน่นอน รวมทั้งอัตราและวิธีการจ่ายคืนเงินทดรองที่ผู้แทนผู้ถือหุ้นกู้ได้จ่ายไปเนื่องจากการปฏิบัติหน้าที่,ผู้ได้รับอนุญาตต้องจัดให้สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้มีความสอดคล้องกับข้อกำหนดสิทธิ โดยอย่างน้อยต้องเป็นไปตามมาตรา 43 และมีรายการและสาระสำคัญดังต่อไปนี้ (4) อัตราและวิธีการจ่ายค่าตอบแทน หรือบำเหน็จในการปฏิบัติหน้าที่ผู้แทนผู้ถือหุ้นกู้ซึ่งต้องกำหนดไว้เป็นจำนวนที่แน่นอน รวมทั้งอัตราและวิธีการจ่ายคืนเงินทดรองซึ่งผู้แทนผู้ถือหุ้นกู้ได้จ่ายไปเนื่องจากการปฏิบัติหน้าที่ผู้แทนผู้ถือหุ้นกู้ :contentReference[oaicite:0]{index=0},1.0,1.0,1.0,1,5,คำตอบที่ AI สร้างขึ้นสอดคล้องกับข้อมูลอ้างอิงและ Ground Truth อย่างครบถ้วน โดยระบุอัตราและวิธีการจ่ายค่าตอบแทนเป็นจำนวนที่แน่นอน รวมถึงการจ่ายคืนเงินทดรองที่ผู้แทนผู้ถือหุ้นกู้จ่ายไปอย่างชัดเจน จึงให้คะแนนเต็ม
Q_Table_Hard_01,ยาก,ธนาคารพาณิชย์ที่ออกตั๋วเงินเพื่อเสนอขายในวงจำกัด มีหน้าที่ต้องพิมพ์ข้อความคำเตือนเรื่องการคุ้มครองเงินฝากบนหน้าตั๋วเงินว่าอย่างไร?,ต้องพิมพ์ข้อความว่า 'ตั๋วเงินนี้ไม่ได้รับความคุ้มครองจากสถาบันคุ้มครองเงินฝาก',"['ข้อ 35', 'ข้อ 72']",ทดสอบการดึงข้อมูลจาก 'ตาราง' ซึ่งเป็นจุดอ่อนของ RAG ทั่วไป โดยบังคับให้แมตช์เงื่อนไข 'ธนาคารพาณิชย์' (FI) กับ 'คำเตือน',"ข้อ 35, ข้อ 72",ข้อ 35,"ธนาคารพาณิชย์ที่ออกตั๋วเงินเพื่อเสนอขายในวงจำกัดต้องพิมพ์ข้อความคำเตือนบนหน้าตั๋วเงินว่า ""ตั๋วเงินนี้ไม่ได้รับความคุ้มครองจากสถาบันคุ้มครองเงินฝาก""",ข้อ 35 ในกรณีที่เป็นการเสนอขายตั๋วเงิน ผู้ได้รับอนุญาตต้องดำเนินการให้ตั๋วเงินมีข้อความอย่างหนึ่งอย่างใดหรือหลายอย่างดังต่อไปนี้ กรณี 3. ตั๋วเงินที่ออกโดย FI* “ตั๋วเงินนี้ไม่ได้รับความคุ้มครองจากสถาบันคุ้มครองเงินฝาก” *FI หมายถึง ธนาคารพาณิชย์ บริษัทเงินทุน หรือบริษัทเครดิตฟองซิเอร์ตามกฎหมายว่าด้วยธุรกิจสถาบันการเงิน :contentReference[oaicite:0]{index=0},1.0,0.5,0.6666666666666666,1,5,คำตอบที่ AI สร้างขึ้นตรงกับข้อมูลอ้างอิงและ Ground Truth อย่างครบถ้วนและชัดเจน
Q_CrossCategory_Hard_02,ยาก,ถ้านิติบุคคลต่างประเทศต้องการเข้ามาเสนอขายตราสารหนี้ในประเทศไทย โดยเป็นตราสารหนี้ 'สกุลเงินบาท' จะต้องดำเนินการขออนุญาตและอยู่ภายใต้ข้อผูกพันของหน่วยงานรัฐใด?,กระทรวงการคลัง (ต้องแสดงได้ว่าดำเนินการภายใต้ข้อผูกพันที่กำหนดและอนุญาตโดยกระทรวงการคลัง),"['ข้อ 23 (3)', 'ข้อ 59 (1)']",ทดสอบระดับ 'ปนหมวดหมู่' ต้องเอาเรื่องกิจการต่างประเทศ มาเชื่อมกับเรื่องสกุลเงินบาท เพื่อตอบหน่วยงานที่ถูกต้อง (กระทรวงการคลัง),"ข้อ 23 (3), ข้อ 59 (1)",ข้อ 59 (1),หากนิติบุคคลต่างประเทศประสงค์เสนอขายตราสารหนี้สกุลเงินบาทในประเทศไทย จะต้องแสดงว่าการออกตราสารหนี้ดังกล่าวได้ดำเนินการภายใต้ข้อผูกพันที่กำหนดและได้รับอนุญาตจากกระทรวงการคลังแล้ว,ข้อ 59 ในกรณีที่ผู้ขออนุญาตเป็นกิจการต่างประเทศ ต้องเป็นไปตามหลักเกณฑ์ดังต่อไปนี้ด้วย (1) ในกรณีที่ตราสารหนี้ที่ขออนุญาตเป็นตราสารหนี้สกุลเงินบาทที่เสนอขายในประเทศไทย ผู้ขออนุญาตต้องแสดงได้ว่ามีการดำเนินการภายใต้ข้อผูกพันที่กำหนดและอนุญาตโดยกระทรวงการคลังแล้ว :contentReference[oaicite:0]{index=0},1.0,0.5,0.6666666666666666,1,5,คำตอบอิงจาก Context โดยตรงและระบุหน่วยงานที่เกี่ยวข้องคือกระทรวงการคลังอย่างชัดเจน ตรงกับ Ground Truth และตอบคำถามได้ครบถ้วนสมบูรณ์
Q_CrossArticle_Hard_03,ยาก,หาก ก.ล.ต. พบว่าข้อเท็จจริงของบริษัทเปลี่ยนไปอย่างมีนัยสำคัญ ก.ล.ต. มีอำนาจสั่งให้ 'ผู้จัดการฝ่ายบัญชี' ของบริษัทเข้ามาชี้แจงข้อมูลได้หรือไม่?,สั่งได้ เนื่องจากข้อ 13 (1) ให้อำนาจสำนักงานสั่งให้ 'ผู้บริหาร' ชี้แจงได้ และตามบทนิยามข้อ 2 คำว่า 'ผู้บริหาร' นั้นครอบคลุมถึงผู้จัดการฝ่ายบัญชีด้วย,"['ข้อ 13 (1)', 'ข้อ 2']",ทดสอบระดับ 'ปนมาตรา (Multi-hop)' ระบบต้องดึงกฎอำนาจการสั่งการ (ข้อ 13) ไปหาบทนิยาม (ข้อ 2) จึงจะตอบข้อนี้ได้,"ข้อ 13 (1), ข้อ 2","ข้อ 13 และบทนิยามคำว่า ""ผู้บริหาร""","มีอำนาจ เนื่องจากประกาศให้อำนาจสำนักงานสั่งให้ผู้บริหารชี้แจงหรือเปิดเผยข้อมูลเพิ่มเติมได้ และนิยามคำว่า ""ผู้บริหาร"" ครอบคลุมผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า จึงรวมผู้จัดการฝ่ายบัญชี","ข้อ 13: ""สำนักงานมีอำนาจดังต่อไปนี้ (1) สั่งให้ผู้ได้รับอนุญาต กรรมการ หรือผู้บริหารของผู้ได้รับอนุญาต ชี้แจงหรือเปิดเผยข้อมูลเพิ่มเติมภายในระยะเวลาที่กำหนด..."" และบทนิยาม: ""ผู้บริหาร หมายความว่า ... (3) ผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีหรือสายงานการเงินที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า"" ",0.5,0.5,0.5,1,5,คำตอบอิงจาก Context โดยตรงและสอดคล้องกับ Ground Truth อย่างครบถ้วน ตอบตรงประเด็นและชัดเจนว่ามีอำนาจสั่งให้ผู้จัดการฝ่ายบัญชีชี้แจงข้อมูลได้
Q_CrossArticle_Hard_04,ยาก,หากบริษัทต้องการเสนอขายพันธบัตรให้แก่กลุ่มเจ้าหนี้เดิมเพื่อ 'ปรับโครงสร้างหนี้' บริษัทนี้จะถูกบังคับให้ขายพันธบัตรให้เสร็จภายใน 6 เดือน เหมือนกับการเสนอขายทั่วไปหรือไม่?,ไม่ถูกบังคับ เนื่องจากข้อ 30 วรรคสาม กำหนดข้อยกเว้นกรอบเวลา 6 เดือนไว้สำหรับการเสนอขายตามข้อ 15 ลำดับที่ 5 (การเสนอขายต่อเจ้าหนี้เพื่อปรับโครงสร้างหนี้),"['ข้อ 30 วรรคสาม', 'ข้อ 15']",ทดสอบระดับ 'ปนมาตรา (Multi-hop)' ระบบต้องวิ่งจากเรื่องกรอบเวลา (ข้อ 30) ไปเช็คเงื่อนไขข้อยกเว้นในตารางลักษณะตราสารหนี้ (ข้อ 15),"ข้อ 30 วรรคสาม, ข้อ 15",ข้อ 17 (3) และข้อ 30,ไม่ บริษัทที่เสนอขายหุ้นกู้แก่เจ้าหนี้เดิมเพื่อประโยชน์ในการปรับโครงสร้างหนี้ไม่ถูกบังคับให้เสนอขายเสร็จภายใน 6 เดือนเช่นการเสนอขายทั่วไป เนื่องจากเป็นการเสนอขายตามข้อ 17 (3) ซึ่งได้รับการยกเว้นจากหลักเกณฑ์ระยะเวลาตามข้อ 30,"ข้อ 17 ความในภาคนี้ให้ใช้บังคับกับการเสนอขายตราสารหนี้ในวงจำกัดที่เข้าลักษณะใดลักษณะหนึ่งดังต่อไปนี้ ... (3) การเสนอขายหุ้นกู้ต่อบุคคลที่เป็นเจ้าหนี้ของบริษัทอยู่แล้วเพื่อประโยชน์ในการปรับโครงสร้างหนี้ ... และข้อ 30 ผู้ได้รับอนุญาตต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาต ... ความในวรรคหนึ่งและวรรคสอง มิให้ใช้บังคับกับการเสนอขายหุ้นกู้หรือพันธบัตรที่เข้าลักษณะการเสนอขายตามข้อ 15 ในตาราง 1, 5 และ 6 :contentReference[oaicite:0]{index=0} :contentReference[oaicite:1]{index=1}",0.5,0.5,0.5,1,5,คำตอบที่ AI ให้สอดคล้องกับข้อมูลใน Context และ Ground Truth โดยระบุชัดเจนว่าการเสนอขายหุ้นกู้แก่เจ้าหนี้เดิมเพื่อปรับโครงสร้างหนี้ได้รับการยกเว้นไม่ต้องขายให้เสร็จภายใน 6 เดือนตามข้อ 30 ซึ่งตรงกับข้อเท็จจริงและประเด็นคำถามอย่างครบถ้วน
Q_Exception_Hard_05,ยาก,บริษัทมหาชนที่จดทะเบียนในตลาดหลักทรัพย์แห่งหนึ่ง เคยถูกศาลพิพากษาคดีฉ้อโกงประชาชนเมื่อ 5 ปีก่อน บริษัทแห่งนี้จะขาดคุณสมบัติในการขออนุญาตเสนอขายตราสารหนี้ต่อผู้ลงทุนรายใหญ่หรือไม่?,ไม่ขาดคุณสมบัติ แม้ข้อ 53 (2) จะกำหนดลักษณะต้องห้ามเรื่องคดีทุจริตภายใน 10 ปี แต่ในข้อ 54 (2) มีการระบุข้อยกเว้นชัดเจนว่า มิให้นำข้อห้ามดังกล่าวมาใช้บังคับกับผู้ขออนุญาตที่เป็น 'บริษัทจดทะเบียน',"['ข้อ 53 (2)', 'ข้อ 54 (2)']",ทดสอบ 'ข้อยกเว้น (Exception)' ที่ซ่อนอยู่อีกมาตราหนึ่ง หาก RAG ดึงมาแค่ข้อเดียว จะถูก AI มโนคำตอบผิดทันที,"ข้อ 53 (2), ข้อ 54 (2)",ข้อ 53 และข้อ 54 (2),ไม่ขาดคุณสมบัติ เนื่องจากแม้ผู้ขออนุญาตจะมีลักษณะต้องห้ามตามข้อ 53 แต่ข้อ 54 (2) กำหนดให้ข้อห้ามตามข้อ 53(1)(ข) (ค) และ (ง) (2) (3) และ (4) ไม่นำมาใช้บังคับกับผู้ขออนุญาตที่เป็นบริษัทจดทะเบียน ดังนั้น บริษัทมหาชนที่จดทะเบียนในตลาดหลักทรัพย์จึงไม่ขาดคุณสมบัติจากเหตุที่ระบุในคำถาม,ข้อ 54 ความในข้อ 53 มิให้ใช้บังคับในกรณีดังต่อไปนี้ (1) ความในข้อ 53(1) และ (2) แล้วแต่กรณี มิให้นำมาใช้บังคับกับผู้ขออนุญาตซึ่งได้แก้ไขเปลี่ยนแปลงเหตุ ระบบงาน ระบบการบริหารจัดการ และการควบคุมการดำเนินงานที่ทำให้ผู้ขออนุญาตมีลักษณะตามข้อ 53(1) หรือ (2) แล้ว (2) ความในข้อ 53(1) (ข) (ค) และ (ง) (2) (3) และ (4) มิให้นำมาใช้บังคับกับผู้ขออนุญาตที่เป็นบริษัทจดทะเบียน :contentReference[oaicite:0]{index=0},1.0,1.0,1.0,1,5,คำตอบอิงจาก Context ที่ให้มาอย่างถูกต้องและครบถ้วน ตรงกับ Ground Truth โดยชี้แจงข้อยกเว้นในข้อ 54(2) ที่ไม่ให้นำข้อห้ามในข้อ 53 มาใช้บังคับกับบริษัทจดทะเบียน จึงตอบคำถามได้ตรงประเด็นและสมบูรณ์
