id,naive_rag_clause,naive_rag_answer,retrieved_context
Q_Vocab_Easy_01,ข้อ 2,หุ้นกู้ด้อยสิทธิ คือ หุ้นกู้ไม่มีประกันที่กำหนดสิทธิของผู้ถือไว้ด้อยกว่าเจ้าหนี้สามัญ,สรุปจากนิยาม 'หุ้นกู้ด้อยสิทธิ' ในข้อ 2
Q_Vocab_Easy_02,"บทนิยามศัพท์ (คำว่า ""ผู้บริหาร"")","ใช่ คำว่า ""ผู้บริหาร"" ครอบคลุมถึงตำแหน่งผู้จัดการฝ่ายบัญชี หากเป็นผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า",“ผู้บริหาร” หมายความว่า (1) ผู้ที่ดำรงตำแหน่งบริหารสูงสุดของกิจการ (2) ผู้ที่ดำรงตำแหน่งระดับบริหาร 4 รายแรกนับต่อจากผู้ที่ดำรงตำแหน่งบริหารสูงสุดของกิจการลงมา และผู้ซึ่งดำรงตำแหน่งเทียบเท่ากับผู้ดำรงตำแหน่งระดับบริหารรายที่ 4 ทุกราย (3) ผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีหรือสายงานการเงินที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า :contentReference[oaicite:0]{index=0}
Q_Clause_Easy_03,ข้อ 30,ผู้ได้รับอนุญาตต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาตให้เสนอขายตราสารหนี้,ข้อ 30 ผู้ได้รับอนุญาตตามภาคนี้ ต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาตให้เสนอขายตราสารหนี้ ในกรณีที่ผู้ได้รับอนุญาตไม่สามารถดำเนินการให้แล้วเสร็จภายในระยะเวลาดังกล่าวและประสงค์จะเสนอขายตราสารหนี้ต่อไป ให้ผู้ได้รับอนุญาตแจ้งต่อสำนักงานก่อนพ้นระยะเวลาดังกล่าวไม่น้อยกว่า 30 วัน เพื่อขอขยายระยะเวลาเสนอขาย... :contentReference[oaicite:0]{index=0}
Q_Subclause_Medium_01,ข้อ 15 (1) (2),สำหรับการเสนอขายตั๋วเงินแบบ PP10 ต่อผู้ลงทุนรายใหญ่พิเศษหรือผู้ลงทุนรายใหญ่ ตั๋วเงินที่เสนอขายต้องมีจำนวนไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง,การเสนอขายตราสารหนี้ PP10 หมายถึง การเสนอขายตราสารหนี้ต่อผู้ลงทุนโดยเฉพาะเจาะจงในลักษณะใดลักษณะหนึ่งดังนี้ (2) การเสนอขายต่อผู้ลงทุนรายใหญ่พิเศษหรือผู้ลงทุนรายใหญ่ ซึ่งมีจำนวนไม่เกิน 10 ราย และมีมูลค่ารวมกันทั้งสิ้นไม่เกิน 50 ล้านบาท ณ ขณะใดขณะหนึ่ง ทั้งนี้ ในกรณีที่ตราสารหนี้ที่เสนอขายเป็นตั๋วเงิน หรือมีตั๋วเงินรวมอยู่ด้วย ตั๋วเงินที่เสนอขายต้องมีจำนวนไม่เกิน 10 ฉบับ ณ ขณะใดขณะหนึ่ง :contentReference[oaicite:0]{index=0}
Q_Section_Medium_02,ข้อ 76 (4),สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้ต้องระบุอัตราและวิธีการจ่ายค่าตอบแทนหรือบำเหน็จในการปฏิบัติหน้าที่ของผู้แทนผู้ถือหุ้นกู้ โดยต้องกำหนดเป็นจำนวนที่แน่นอน รวมทั้งอัตราและวิธีการจ่ายคืนเงินทดรองที่ผู้แทนผู้ถือหุ้นกู้ได้จ่ายไปเนื่องจากการปฏิบัติหน้าที่,ผู้ได้รับอนุญาตต้องจัดให้สัญญาแต่งตั้งผู้แทนผู้ถือหุ้นกู้มีความสอดคล้องกับข้อกำหนดสิทธิ โดยอย่างน้อยต้องเป็นไปตามมาตรา 43 และมีรายการและสาระสำคัญดังต่อไปนี้ (4) อัตราและวิธีการจ่ายค่าตอบแทน หรือบำเหน็จในการปฏิบัติหน้าที่ผู้แทนผู้ถือหุ้นกู้ซึ่งต้องกำหนดไว้เป็นจำนวนที่แน่นอน รวมทั้งอัตราและวิธีการจ่ายคืนเงินทดรองซึ่งผู้แทนผู้ถือหุ้นกู้ได้จ่ายไปเนื่องจากการปฏิบัติหน้าที่ผู้แทนผู้ถือหุ้นกู้ :contentReference[oaicite:0]{index=0}
Q_Table_Hard_01,ข้อ 35,"ธนาคารพาณิชย์ที่ออกตั๋วเงินเพื่อเสนอขายในวงจำกัดต้องพิมพ์ข้อความคำเตือนบนหน้าตั๋วเงินว่า ""ตั๋วเงินนี้ไม่ได้รับความคุ้มครองจากสถาบันคุ้มครองเงินฝาก""",ข้อ 35 ในกรณีที่เป็นการเสนอขายตั๋วเงิน ผู้ได้รับอนุญาตต้องดำเนินการให้ตั๋วเงินมีข้อความอย่างหนึ่งอย่างใดหรือหลายอย่างดังต่อไปนี้ กรณี 3. ตั๋วเงินที่ออกโดย FI* “ตั๋วเงินนี้ไม่ได้รับความคุ้มครองจากสถาบันคุ้มครองเงินฝาก” *FI หมายถึง ธนาคารพาณิชย์ บริษัทเงินทุน หรือบริษัทเครดิตฟองซิเอร์ตามกฎหมายว่าด้วยธุรกิจสถาบันการเงิน :contentReference[oaicite:0]{index=0}
Q_CrossCategory_Hard_02,ข้อ 59 (1),หากนิติบุคคลต่างประเทศประสงค์เสนอขายตราสารหนี้สกุลเงินบาทในประเทศไทย จะต้องแสดงว่าการออกตราสารหนี้ดังกล่าวได้ดำเนินการภายใต้ข้อผูกพันที่กำหนดและได้รับอนุญาตจากกระทรวงการคลังแล้ว,ข้อ 59 ในกรณีที่ผู้ขออนุญาตเป็นกิจการต่างประเทศ ต้องเป็นไปตามหลักเกณฑ์ดังต่อไปนี้ด้วย (1) ในกรณีที่ตราสารหนี้ที่ขออนุญาตเป็นตราสารหนี้สกุลเงินบาทที่เสนอขายในประเทศไทย ผู้ขออนุญาตต้องแสดงได้ว่ามีการดำเนินการภายใต้ข้อผูกพันที่กำหนดและอนุญาตโดยกระทรวงการคลังแล้ว :contentReference[oaicite:0]{index=0}
Q_CrossArticle_Hard_03,"ข้อ 13 และบทนิยามคำว่า ""ผู้บริหาร""","มีอำนาจ เนื่องจากประกาศให้อำนาจสำนักงานสั่งให้ผู้บริหารชี้แจงหรือเปิดเผยข้อมูลเพิ่มเติมได้ และนิยามคำว่า ""ผู้บริหาร"" ครอบคลุมผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า จึงรวมผู้จัดการฝ่ายบัญชี","ข้อ 13: ""สำนักงานมีอำนาจดังต่อไปนี้ (1) สั่งให้ผู้ได้รับอนุญาต กรรมการ หรือผู้บริหารของผู้ได้รับอนุญาต ชี้แจงหรือเปิดเผยข้อมูลเพิ่มเติมภายในระยะเวลาที่กำหนด..."" และบทนิยาม: ""ผู้บริหาร หมายความว่า ... (3) ผู้ดำรงตำแหน่งระดับบริหารในสายงานบัญชีหรือสายงานการเงินที่เป็นระดับผู้จัดการฝ่ายขึ้นไปหรือเทียบเท่า"" "
Q_CrossArticle_Hard_04,ข้อ 17 (3) และข้อ 30,ไม่ บริษัทที่เสนอขายหุ้นกู้แก่เจ้าหนี้เดิมเพื่อประโยชน์ในการปรับโครงสร้างหนี้ไม่ถูกบังคับให้เสนอขายเสร็จภายใน 6 เดือนเช่นการเสนอขายทั่วไป เนื่องจากเป็นการเสนอขายตามข้อ 17 (3) ซึ่งได้รับการยกเว้นจากหลักเกณฑ์ระยะเวลาตามข้อ 30,"ข้อ 17 ความในภาคนี้ให้ใช้บังคับกับการเสนอขายตราสารหนี้ในวงจำกัดที่เข้าลักษณะใดลักษณะหนึ่งดังต่อไปนี้ ... (3) การเสนอขายหุ้นกู้ต่อบุคคลที่เป็นเจ้าหนี้ของบริษัทอยู่แล้วเพื่อประโยชน์ในการปรับโครงสร้างหนี้ ... และข้อ 30 ผู้ได้รับอนุญาตต้องดำเนินการขายตราสารหนี้ให้แล้วเสร็จภายใน 6 เดือนนับแต่วันที่ได้รับอนุญาต ... ความในวรรคหนึ่งและวรรคสอง มิให้ใช้บังคับกับการเสนอขายหุ้นกู้หรือพันธบัตรที่เข้าลักษณะการเสนอขายตามข้อ 15 ในตาราง 1, 5 และ 6 :contentReference[oaicite:0]{index=0} :contentReference[oaicite:1]{index=1}"
Q_Exception_Hard_05,ข้อ 53 และข้อ 54 (2),ไม่ขาดคุณสมบัติ เนื่องจากแม้ผู้ขออนุญาตจะมีลักษณะต้องห้ามตามข้อ 53 แต่ข้อ 54 (2) กำหนดให้ข้อห้ามตามข้อ 53(1)(ข) (ค) และ (ง) (2) (3) และ (4) ไม่นำมาใช้บังคับกับผู้ขออนุญาตที่เป็นบริษัทจดทะเบียน ดังนั้น บริษัทมหาชนที่จดทะเบียนในตลาดหลักทรัพย์จึงไม่ขาดคุณสมบัติจากเหตุที่ระบุในคำถาม,ข้อ 54 ความในข้อ 53 มิให้ใช้บังคับในกรณีดังต่อไปนี้ (1) ความในข้อ 53(1) และ (2) แล้วแต่กรณี มิให้นำมาใช้บังคับกับผู้ขออนุญาตซึ่งได้แก้ไขเปลี่ยนแปลงเหตุ ระบบงาน ระบบการบริหารจัดการ และการควบคุมการดำเนินงานที่ทำให้ผู้ขออนุญาตมีลักษณะตามข้อ 53(1) หรือ (2) แล้ว (2) ความในข้อ 53(1) (ข) (ค) และ (ง) (2) (3) และ (4) มิให้นำมาใช้บังคับกับผู้ขออนุญาตที่เป็นบริษัทจดทะเบียน :contentReference[oaicite:0]{index=0}
